Date,Price,Open,High,Low,Vol.,Change %
26-Feb-17,"131,550","119,021","133,730","119,021",0.00K,10.53%
25-Feb-17,"119,021","132,465","135,910","119,021",0.05K,-10.15%
24-Feb-17,"132,465","129,842","137,981","120,000",0.26K,2.02%
23-Feb-17,"129,842","126,921","130,999","120,000",0.09K,2.30%
22-Feb-17,"126,921","126,710","127,846","116,391",0.06K,0.17%
21-Feb-17,"126,710","122,236","127,029","117,384",0.11K,3.66%
20-Feb-17,"122,236","119,953","122,236","117,557",0.06K,1.90%
19-Feb-17,"119,953","119,237","120,600","117,740",0.01K,0.60%
18-Feb-17,"119,237","119,621","120,386","116,870",0.01K,-0.32%
17-Feb-17,"119,621","117,793","120,364","115,234",0.07K,1.55%
16-Feb-17,"117,793","115,011","118,589","113,911",0.07K,2.42%
15-Feb-17,"115,011","113,435","116,940","113,435",0.01K,1.39%
14-Feb-17,"113,435","113,723","116,439","105,153",0.02K,-0.25%
13-Feb-17,"113,723","114,136","118,554","110,554",0.05K,-0.36%
12-Feb-17,"114,136","113,186","116,195","112,416",0.01K,0.84%
11-Feb-17,"113,186","113,220","115,548","108,238",0.03K,-0.03%
10-Feb-17,"113,220","113,402","122,519","108,226",0.07K,-0.16%
9-Feb-17,"113,402","116,776","122,290","107,105",0.27K,-2.89%
8-Feb-17,"116,776","118,068","121,771","114,123",0.06K,-1.09%
7-Feb-17,"118,068","114,746","118,774","111,772",0.15K,2.89%
6-Feb-17,"114,746","113,506","115,701","113,112",0.04K,1.09%
5-Feb-17,"113,506","114,385","115,879","112,107",0.02K,-0.77%
4-Feb-17,"114,385","114,659","115,351","111,859",0.05K,-0.24%
3-Feb-17,"114,659","112,163","115,677","109,301",0.08K,2.23%
2-Feb-17,"112,163","111,019","112,667","107,061",0.13K,1.03%
1-Feb-17,"111,019","108,192","111,618","99,136",0.20K,2.61%
31-Jan-17,"108,192","104,284","108,268","99,136",0.19K,3.75%
30-Jan-17,"104,284","104,916","105,471","102,878",0.05K,-0.60%
29-Jan-17,"104,916","105,252","106,315","104,718",0.00K,-0.32%
28-Jan-17,"105,252","104,000","106,315","103,957",0.01K,1.20%
27-Jan-17,"104,000","103,490","106,014","102,244",0.06K,0.49%
26-Jan-17,"103,490","100,057","105,420","99,920",0.16K,3.43%
25-Jan-17,"100,057","101,589","104,243","100,000",0.05K,-1.51%
24-Jan-17,"101,589","103,728","104,698","100,952",0.10K,-2.06%
23-Jan-17,"103,728","104,470","105,811","99,967",0.03K,-0.71%
22-Jan-17,"104,470","105,004","106,564","95,296",0.05K,-0.51%
21-Jan-17,"105,004","103,508","106,001","100,557",0.10K,1.45%
20-Jan-17,"103,508","103,643","105,818","100,307",0.02K,-0.13%
19-Jan-17,"103,643","99,016","105,316","98,331",0.05K,4.67%
18-Jan-17,"99,016","102,392","105,363","93,754",0.24K,-3.30%
17-Jan-17,"102,392","94,857","103,061","90,691",0.18K,7.94%
16-Jan-17,"94,857","92,499","95,406","88,312",0.03K,2.55%
15-Jan-17,"92,499","91,614","102,590","88,284",0.06K,0.97%
14-Jan-17,"91,614","93,878","102,590","89,315",0.01K,-2.41%
13-Jan-17,"93,878","93,497","94,444","88,273",0.10K,0.41%
12-Jan-17,"93,497","88,836","105,975","87,043",0.13K,5.25%
11-Jan-17,"88,836","105,266","106,858","88,645",0.15K,-15.61%
10-Jan-17,"105,266","106,400","106,400","102,437",0.04K,-1.07%
9-Jan-17,"106,400","110,455","110,746","101,983",0.11K,-3.67%
8-Jan-17,"110,455","105,381","112,326","95,069",0.05K,4.81%
7-Jan-17,"105,381","108,571","114,603","95,080",0.16K,-2.94%
6-Jan-17,"108,571","112,744","137,394","98,672",0.13K,-3.70%
5-Jan-17,"112,744","130,010","139,065","101,769",0.43K,-13.28%
4-Jan-17,"130,010","115,396","130,167","114,740",0.22K,12.66%
3-Jan-17,"115,396","116,707","121,367","114,291",0.12K,-1.12%
2-Jan-17,"116,707","114,101","118,165","111,027",0.02K,2.28%
1-Jan-17,"114,101","111,316","114,594","108,568",0.05K,2.50%
